店舗ID,店舗名,住所　,Googleマップ,カテゴリ１,カテゴリ２
,Schmatz beer dining shonandai 湘南台,〒252-0804 神奈川県藤沢市湘南台２丁目１５ 小田急マルシェ,https://maps.app.goo.gl/1HQT8a1Quf3DmPAk9,居酒屋,
,赤提灯,〒252-0804 神奈川県藤沢市湘南台１丁目６−１０,https://maps.app.goo.gl/8eu2P2gXbHmaiLzH8,居酒屋,
,居酒家湘南,〒252-0804 神奈川県藤沢市湘南台１丁目５−５ 石井ビル 1階,https://maps.app.goo.gl/TUArA4Nt5Hk9Y7E4A,居酒屋,
,酒菜の隠れ家 月あかり湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目１２−１ らうらうじ湘南台 2F,https://maps.app.goo.gl/rN6ygW4mMUwiEJjF8,居酒屋,
,居酒屋スターズ,〒252-0804 神奈川県藤沢市湘南台２丁目１２,https://maps.app.goo.gl/rNm7Nh88L17f2XE68,居酒屋,
,YASSAI MOSSAI,〒252-0804 神奈川県藤沢市湘南台２丁目5−１０ ウエストプラザ5番地 202,https://maps.app.goo.gl/AznnMQt58p9qdf3VA,居酒屋,
,旬彩料理 みちる,〒252-0804 神奈川県藤沢市湘南台２丁目４−８ ｢上田ビル/2F｣,https://maps.app.goo.gl/VBjKtx8FJn9k7NHE6,居酒屋,
,彩菜～saisai～,〒252-0804 神奈川県藤沢市湘南台２丁目22−９,https://maps.app.goo.gl/o7XaBivNxgxAdGWu8,居酒屋,
,鷄酒場 雅桜,〒252-0804 神奈川県藤沢市湘南台２丁目10−６,https://maps.app.goo.gl/pVyRVTGM6MbxuCdk7,居酒屋,
,仕立屋 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目１−１０,https://maps.app.goo.gl/bU484VTj2Zk9URtQ9,居酒屋,
,日本酒とうどんのお店 かずどん,〒252-0804 神奈川県藤沢市湘南台１丁目１０−６ 2F,https://maps.app.goo.gl/tndN1SeJKjwAp9CD9,居酒屋,
,七福陣,〒252-0804 神奈川県藤沢市湘南台２丁目１７−７,https://maps.app.goo.gl/R3MiBj2AP4MdDZX26,居酒屋,
,福福屋 湘南台西口駅前店,〒252-0804 神奈川県藤沢市湘南台２丁目２ 4KSKビル 3階,https://maps.app.goo.gl/LMqe9aeUcc3xMoiJ6,居酒屋,
,くいもの屋わん 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目１０−７ マーベルスクエアB1,https://maps.app.goo.gl/2Br9h6QAni1qbwj86,居酒屋,
,居酒屋 つる平,〒252-0804 神奈川県藤沢市湘南台２丁目２２−１６,https://maps.app.goo.gl/GpdCNfYVFf7MqKMU7,居酒屋,
,キッチンほり,〒252-0804 神奈川県藤沢市湘南台２丁目１０−６ 庄司会館 4,https://maps.app.goo.gl/yWFba8Es32Lz2az5A,居酒屋,
,枡や,〒252-0804 神奈川県藤沢市湘南台２丁目１７−１４,https://maps.app.goo.gl/7yYMw3tWGBCDQjZs9,居酒屋,
,ぶるしっと！,〒252-0804 神奈川県藤沢市湘南台２丁目５−１０ ２０１,https://maps.app.goo.gl/4o6p9HmQxvZsR7tt9,居酒屋,
,あざす。,〒252-0804 神奈川県藤沢市湘南台２丁目２−１,https://maps.app.goo.gl/woQLU9abSv8Jaoh36,居酒屋,
,炭火焼 笑なり,〒252-0804 神奈川県藤沢市湘南台１丁目21−１ コーポ佐藤 108,https://maps.app.goo.gl/CkAw5mvykwDKyr4u8,焼き鳥,
,やきとり 鳥一番,〒252-0804 神奈川県藤沢市湘南台２丁目１６−１５,https://maps.app.goo.gl/MN5CJ2WjApbVCQRJ7,焼き鳥,
,TaRe TaRe 湘南台本店,〒252-0804 神奈川県藤沢市湘南台１丁目14−１３ C,https://maps.app.goo.gl/u4jjijPCXbh8qc7H8,焼き鳥,
,炭焼ダイニング そると 湘南台,〒252-0804 神奈川県藤沢市湘南台２丁目12−１ らうらうじ湘南台 2F,https://maps.app.goo.gl/JJxuNWEqViihatYD8,焼き鳥,
,あい,〒252-0804 神奈川県藤沢市湘南台１丁目１４−８,https://maps.app.goo.gl/QypbW5HKEQKRDfsW9,焼き鳥,
,翔吉,〒252-0804 神奈川県藤沢市湘南台２丁目１６−１８,https://maps.app.goo.gl/zL7P3sJFfza3ssE47,焼き鳥,
,一喜（いっき） 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目１２−１,https://maps.app.goo.gl/eThf7maKbYyf79oh6,焼き鳥,
,JIROCHO,〒252-0804 神奈川県藤沢市湘南台２丁目４−５,https://maps.app.goo.gl/rmZvapyYns4r8LgD6,焼き鳥,
,三代目鳥メロ 湘南台西口駅前店,〒252-0804 神奈川県藤沢市湘南台２丁目２−５ 相鉄湘南台ビル3F,https://maps.app.goo.gl/Krv7j5YdeNNWQLoK7,焼き鳥,
,やきとり大吉 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目３５−１,https://maps.app.goo.gl/KbPJdTeBiRaTET7S7,焼き鳥,
,居酒屋 つる平,〒252-0804 神奈川県藤沢市湘南台２丁目２２−１６,https://maps.app.goo.gl/RNYivxF5yXKk4v3i9,焼き鳥,
,鳥貴族 湘南台西口店,〒252-0804 神奈川県藤沢市湘南台２丁目４ 番４ ﾋﾞｰﾋﾞﾙ 2階,https://maps.app.goo.gl/GF5PK9qGTP4XZvY56,焼き鳥,
,鳥海山 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目１−１,https://maps.app.goo.gl/AMy3e8nGxoLADrgw9,焼き鳥,
,湘南茶屋,〒252-0804 神奈川県藤沢市湘南台４丁目１−２２ ジュリアンビル,https://maps.app.goo.gl/6FbGRyrCDqXg17rM6,焼き鳥,
,TaReTaRe WEST,〒252-0804 神奈川県藤沢市湘南台２丁目16−１１ B,https://maps.app.goo.gl/tSUzQa7aDSszvURh6,焼き鳥,
